county,cases
Nairobi,1693
Mombasa,1098
Busia,318
Kajiado,122
Kiambu,107
Uasin Gishu,61
Kwale,35
Migori,43
Kilifi,41
Mandera,18
Taita Taveta,21
Machakos,20
Wajir,16
Garissa,16
Kisumu,17
Nakuru,14
Kitui,11
Siaya,12
Nyeri,9
Turkana,15
Isiolo,4
Murang'a,6
Makueni,3
Bungoma,6
Kericho,1
Kisii,2
Laikipia,2
Homa Bay,3
Kakamega,2
Kirinyaga,1
Marsabit,1
Meru,2
Nandi,1
Trans-Nzoia,1
Baringo,
Bomet,1
Elgeyo-Marakwet,1
Embu,1
Lamu,
Narok,1
Tharaka-Nithi,
Nyamira,1
Nyandarua,
Samburu,
Tana River,
Vihiga,
West Pokot,
